"mes","dia","categoria","conteo"
"Mayo","Viernes","Auto",103636
"Mayo","Viernes","Auto con trailer",5143
"Mayo","Viernes","Moto",17530
"Mayo","Viernes","Otros",12296
"Mayo","Viernes","Pesado",157989
"Noviembre","Domingo","Auto",90096
"Noviembre","Domingo","Auto con trailer",2830
"Noviembre","Domingo","Moto",11649
"Noviembre","Domingo","Otros",8373
"Noviembre","Domingo","Pesado",108699
"Noviembre","Jueves","Auto",99341
"Noviembre","Jueves","Auto con trailer",5708
"Noviembre","Jueves","Moto",16487
"Noviembre","Jueves","Otros",9173
"Noviembre","Jueves","Pesado",156219
"Noviembre","Lunes","Auto",97628
"Noviembre","Lunes","Auto con trailer",4868
"Noviembre","Lunes","Moto",15771
"Noviembre","Lunes","Otros",9471
"Noviembre","Lunes","Pesado",147750
"Noviembre","Martes","Auto",97671
"Noviembre","Martes","Auto con trailer",5448
"Noviembre","Martes","Moto",16242
"Noviembre","Martes","Otros",9186
"Noviembre","Martes","Pesado",152779
"Noviembre","Miércoles","Auto",98500
"Noviembre","Miércoles","Auto con trailer",5713
"Noviembre","Miércoles","Moto",16379
"Noviembre","Miércoles","Otros",9134
"Noviembre","Miércoles","Pesado",154387
"Noviembre","Sábado","Auto",94339
"Noviembre","Sábado","Auto con trailer",3934
"Noviembre","Sábado","Moto",14191
"Noviembre","Sábado","Otros",8954
"Noviembre","Sábado","Pesado",124056
"Noviembre","Viernes","Auto",101166
"Noviembre","Viernes","Auto con trailer",5768
"Noviembre","Viernes","Moto",17087
"Noviembre","Viernes","Otros",9459
"Noviembre","Viernes","Pesado",154907
"Octubre","Domingo","Auto",90120
"Octubre","Domingo","Auto con trailer",2913
"Octubre","Domingo","Moto",12039
"Octubre","Domingo","Otros",8123
"Octubre","Domingo","Pesado",109207
"Octubre","Jueves","Auto",100644
"Octubre","Jueves","Auto con trailer",5915
"Octubre","Jueves","Moto",17254
"Octubre","Jueves","Otros",9396
"Octubre","Jueves","Pesado",160198
"Octubre","Lunes","Auto",96177
"Octubre","Lunes","Auto con trailer",4927
"Octubre","Lunes","Moto",14938
"Octubre","Lunes","Otros",8398
"Octubre","Lunes","Pesado",147103
"Octubre","Martes","Auto",100397
"Octubre","Martes","Auto con trailer",5782
"Octubre","Martes","Moto",17273
"Octubre","Martes","Otros",9058
"Octubre","Martes","Pesado",159809
"Octubre","Miércoles","Auto",98229
"Octubre","Miércoles","Auto con trailer",5452
"Octubre","Miércoles","Moto",16328
"Octubre","Miércoles","Otros",8743
"Octubre","Miércoles","Pesado",154333
"Octubre","Sábado","Auto",94748
"Octubre","Sábado","Auto con trailer",3516
"Octubre","Sábado","Moto",13740
"Octubre","Sábado","Otros",8795
"Octubre","Sábado","Pesado",124891
"Octubre","Viernes","Auto",100120
"Octubre","Viernes","Auto con trailer",5281
"Octubre","Viernes","Moto",16445
"Octubre","Viernes","Otros",9448
"Octubre","Viernes","Pesado",153453
"Septiembre","Domingo","Auto",105245
"Septiembre","Domingo","Auto con trailer",3796
"Septiembre","Domingo","Moto",15893
"Septiembre","Domingo","Otros",11194
"Septiembre","Domingo","Pesado",132868
"Septiembre","Jueves","Auto",119817
"Septiembre","Jueves","Auto con trailer",7559
"Septiembre","Jueves","Moto",23299
"Septiembre","Jueves","Otros",13512
"Septiembre","Jueves","Pesado",197012
"Septiembre","Lunes","Auto",112774
"Septiembre","Lunes","Auto con trailer",6845
"Septiembre","Lunes","Moto",21763
"Septiembre","Lunes","Otros",11908
"Septiembre","Lunes","Pesado",182217
"Septiembre","Martes","Auto",111437
"Septiembre","Martes","Auto con trailer",6611
"Septiembre","Martes","Moto",21420
