"año","estacion","pago","conteo"
"22","Illia","Exento",15112
"22","Illia","Infracción",131735
"22","Illia","Otros",48239
"22","Illia","Telepase",343768
"22","Parque Avellaneda","Billeteras virtuales",76113
"22","Parque Avellaneda","Efectivo",75880
"22","Parque Avellaneda","Exento",33912
"22","Parque Avellaneda","Infracción",36847
"22","Parque Avellaneda","Otros",105101
"22","Parque Avellaneda","Telepase",194797
"22","Paseo del Bajo","Billeteras virtuales",65540
"22","Paseo del Bajo","Infracción",110040
"22","Paseo del Bajo","Telepase",253220
"23","Alberti","Billeteras virtuales",31496
"23","Alberti","Infracción",36216
"23","Alberti","Telepase",55449
"23","Dellepiane","Billeteras virtuales",101954
"23","Dellepiane","Efectivo",65148
"23","Dellepiane","Exento",46888
"23","Dellepiane","Infracción",40843
"23","Dellepiane","Otros",45949
"23","Dellepiane","Telepase",210816
"23","Illia","Billeteras virtuales",154987
"23","Illia","Efectivo",11473
"23","Illia","Exento",4402
"23","Illia","Infracción",148298
"23","Illia","Otros",13985
"23","Illia","Telepase",311958
"23","Parque Avellaneda","Billeteras virtuales",105113
"23","Parque Avellaneda","Efectivo",76003
"23","Parque Avellaneda","Exento",49050
"23","Parque Avellaneda","Infracción",48017
"23","Parque Avellaneda","Otros",105837
"23","Parque Avellaneda","Telepase",224606
"23","Paseo del Bajo","Billeteras virtuales",101410
"23","Paseo del Bajo","Infracción",140244
"23","Paseo del Bajo","Telepase",295851
"24","Alberti","Billeteras virtuales",51436
"24","Alberti","Infracción",51060
"24","Alberti","Telepase",100508
"24","Dellepiane","Billeteras virtuales",121758
"24","Dellepiane","Efectivo",66796
"24","Dellepiane","Exento",71886
"24","Dellepiane","Infracción",88407
"24","Dellepiane","Otros",69842
"24","Dellepiane","Telepase",257694
"24","Illia","Billeteras virtuales",171450
"24","Illia","Infracción",154689
"24","Illia","Telepase",354737
"24","Parque Avellaneda","Billeteras virtuales",129587
"24","Parque Avellaneda","Efectivo",73755
"24","Parque Avellaneda","Exento",76440
"24","Parque Avellaneda","Infracción",68029
"24","Parque Avellaneda","Otros",75030
"24","Parque Avellaneda","Telepase",308887
"24","Paseo del Bajo","Billeteras virtuales",161383
"24","Paseo del Bajo","Infracción",181452
"24","Paseo del Bajo","Telepase",465663
"8","Alberti","Efectivo",17566
"8","Alberti","Telepase",17566
"8","Dellepiane","Efectivo",17568
"8","Dellepiane","Telepase",17568
"8","Illia","Efectivo",17556
"8","Illia","Telepase",17556
"8","Parque Avellaneda","Efectivo",17568
"8","Parque Avellaneda","Telepase",17568
"9","Alberti","Discapacidad",4515
"9","Alberti","Efectivo",15993
"9","Alberti","Exento",9285
"9","Alberti","Infracción",942
"9","Alberti","No Cobrado",5110
"9","Alberti","Otros",4290
"9","Alberti","Telepase",9856
"9","Dellepiane","Discapacidad",11431
"9","Dellepiane","Efectivo",51824
"9","Dellepiane","Exento",15290
"9","Dellepiane","Infracción",11171
"9","Dellepiane","No Cobrado",16078
"9","Dellepiane","Otros",8699
"9","Dellepiane","Telepase",42568
"9","Illia","Discapacidad",9775
"9","Illia","Efectivo",48887
"9","Illia","Exento",19831
"9","Illia","Infracción",3184
"9","Illia","No Cobrado",12106
"9","Illia","Otros",13809
"9","Illia","Telepase",31268
"9","Parque Avellaneda","Discapacidad",12638
"9","Parque Avellaneda","Efectivo",60070
"9","Parque Avellaneda","Exento",19433
"9","Parque Avellaneda","Infracción",14713
"9","Parque Avellaneda","No Cobrado",20635
"9","Parque Avellaneda","Otros",12952
"9","Parque Avellaneda","Telepase",50418
